scenario,sim,metric,value
HPV-Faster 35%,2,yll,1486993.099399203
HPV-Faster 35%,3,ablations,1304617.164
HPV-Faster 35%,3,asr_cancer_incidence,955.6280170151538
HPV-Faster 35%,3,cancer_deaths,100389.98250029335
HPV-Faster 35%,3,cancer_incidence,922.6185986995697
HPV-Faster 35%,3,cancer_incidence_no_hiv,883.8365920782089
HPV-Faster 35%,3,cancer_incidence_with_hiv,4484.770630121231
HPV-Faster 35%,3,cancer_treatments,133440.2944
HPV-Faster 35%,3,cancers,113921.66081185116
HPV-Faster 35%,3,cancers_no_hiv,108155.14194521359
HPV-Faster 35%,3,cancers_with_hiv,4908.696322766602
HPV-Faster 35%,3,dalys,2241678.4395887633
HPV-Faster 35%,3,excisions,0.0
HPV-Faster 35%,3,leeps,53614.404
HPV-Faster 35%,3,screens,8919947.5366
HPV-Faster 35%,3,txvs,0.0
HPV-Faster 35%,3,vaccinations,13536445.5788
HPV-Faster 35%,3,yld,152592.31516778475
HPV-Faster 35%,3,yll,2089086.1244209784
HPV-Faster 35%,4,ablations,642181.4168
HPV-Faster 35%,4,asr_cancer_incidence,748.2441790087705
HPV-Faster 35%,4,cancer_deaths,74735.49420504496
HPV-Faster 35%,4,cancer_incidence,668.0609055757523
HPV-Faster 35%,4,cancer_incidence_no_hiv,636.016133248806
HPV-Faster 35%,4,cancer_incidence_with_hiv,3763.3600482940674
HPV-Faster 35%,4,cancer_treatments,73570.8766
HPV-Faster 35%,4,cancers,76844.32762435795
HPV-Faster 35%,4,cancers_no_hiv,72227.53538606029
HPV-Faster 35%,4,cancers_with_hiv,3863.215519731635
HPV-Faster 35%,4,dalys,1301846.3426045568
HPV-Faster 35%,4,excisions,0.0
HPV-Faster 35%,4,leeps,29785.78
HPV-Faster 35%,4,screens,6735160.5736
HPV-Faster 35%,4,txvs,0.0
HPV-Faster 35%,4,vaccinations,13538828.4412
HPV-Faster 35%,4,yld,94564.53381675777
HPV-Faster 35%,4,yll,1207281.808787799
HPV-Faster 35%,5,ablations,1791018.9514
HPV-Faster 35%,5,asr_cancer_incidence,1092.8293152706235
HPV-Faster 35%,5,cancer_deaths,122228.9139541376
HPV-Faster 35%,5,cancer_incidence,1083.1458704471588
HPV-Faster 35%,5,cancer_incidence_no_hiv,1044.4570758342743
HPV-Faster 35%,5,cancer_incidence_with_hiv,4916.981837511063
HPV-Faster 35%,5,cancer_treatments,176033.9598
HPV-Faster 35%,5,cancers,136993.72281443642
HPV-Faster 35%,5,cancers_no_hiv,131087.21217692964
HPV-Faster 35%,5,cancers_with_hiv,4962.310780493762
HPV-Faster 35%,5,dalys,2921921.4339921423
HPV-Faster 35%,5,excisions,0.0
HPV-Faster 35%,5,leeps,78038.7436
HPV-Faster 35%,5,screens,10407747.2476
HPV-Faster 35%,5,txvs,0.0
HPV-Faster 35%,5,vaccinations,13537041.2944
HPV-Faster 35%,5,yld,181772.494816439
HPV-Faster 35%,5,yll,2740148.939175703
HPV-Faster 35%,6,ablations,736602.3394
HPV-Faster 35%,6,asr_cancer_incidence,686.3828758282384
HPV-Faster 35%,6,cancer_deaths,70079.9755375
HPV-Faster 35%,6,cancer_incidence,635.0014288425446
HPV-Faster 35%,6,cancer_incidence_no_hiv,606.8836131095886
HPV-Faster 35%,6,cancer_incidence_with_hiv,3247.9561474323273
HPV-Faster 35%,6,cancer_treatments,76847.3124
HPV-Faster 35%,6,cancers,75012.50037832135
HPV-Faster 35%,6,cancers_no_hiv,70943.76818745847
HPV-Faster 35%,6,cancers_with_hiv,3526.6362165835894
HPV-Faster 35%,6,dalys,1426470.2025889468
HPV-Faster 35%,6,excisions,0.0
HPV-Faster 35%,6,leeps,36934.3672
HPV-Faster 35%,6,screens,7044039.1122
HPV-Faster 35%,6,txvs,0.0
HPV-Faster 35%,6,vaccinations,13557593.4826
HPV-Faster 35%,6,yld,95739.77133160355
HPV-Faster 35%,6,yll,1330730.4312573434
HPV-Faster 35%,7,ablations,1077351.6626
HPV-Faster 35%,7,asr_cancer_incidence,756.2703273528138
HPV-Faster 35%,7,cancer_deaths,80796.89773026749
HPV-Faster 35%,7,cancer_incidence,734.4858419895172
HPV-Faster 35%,7,cancer_incidence_no_hiv,702.054792881012
HPV-Faster 35%,7,cancer_incidence_with_hiv,4066.331154823303
HPV-Faster 35%,7,cancer_treatments,107526.6658
HPV-Faster 35%,7,cancers,91153.41286635127
HPV-Faster 35%,7,cancers_no_hiv,86465.13741294046
HPV-Faster 35%,7,cancers_with_hiv,4024.0587198144585
HPV-Faster 35%,7,dalys,1839115.8567893815
HPV-Faster 35%,7,excisions,0.0
HPV-Faster 35%,7,leeps,47657.248
HPV-Faster 35%,7,screens,7955781.838
HPV-Faster 35%,7,txvs,0.0
HPV-Faster 35%,7,vaccinations,13543892.0238
HPV-Faster 35%,7,yld,121006.49616417944
HPV-Faster 35%,7,yll,1718109.360625202
HPV-Faster 35%,8,ablations,1044885.1624
HPV-Faster 35%,8,asr_cancer_incidence,737.5605922508361
HPV-Faster 35%,8,cancer_deaths,78342.55136838897
HPV-Faster 35%,8,cancer_incidence,698.3788932561874
HPV-Faster 35%,8,cancer_incidence_no_hiv,669.6838747262955
HPV-Faster 35%,8,cancer_incidence_with_hiv,3372.290897846222
HPV-Faster 35%,8,cancer_treatments,124802.4182
HPV-Faster 35%,8,cancers,84960.95074641617
HPV-Faster 35%,8,cancers_no_hiv,80749.24667549331
HPV-Faster 35%,8,cancers_with_hiv,3583.229208969509
HPV-Faster 35%,8,dalys,1816885.8997705667
HPV-Faster 35%,8,excisions,0.0
HPV-Faster 35%,8,leeps,57486.5554
HPV-Faster 35%,8,screens,7982589.04
HPV-Faster 35%,8,txvs,0.0
HPV-Faster 35%,8,vaccinations,13554912.7624
HPV-Faster 35%,8,yld,110970.59148765163
HPV-Faster 35%,8,yll,1705915.308282915
HPV-Faster 35%,9,ablations,537931.1868
HPV-Faster 35%,9,asr_cancer_incidence,668.3840047207444
HPV-Faster 35%,9,cancer_deaths,66261.43968042258
HPV-Faster 35%,9,cancer_incidence,594.0166082680225
HPV-Faster 35%,9,cancer_incidence_no_hiv,561.5128760933876
HPV-Faster 35%,9,cancer_incidence_with_hiv,3752.727967262268
HPV-Faster 35%,9,cancer_treatments,68507.294
HPV-Faster 35%,9,cancers,66997.1489370685
HPV-Faster 35%,9,cancers_no_hiv,62645.44998171982
HPV-Faster 35%,9,cancers_with_hiv,3815.5582755708747
HPV-Faster 35%,9,dalys,1115680.9575490586
HPV-Faster 35%,9,excisions,0.0
HPV-Faster 35%,9,leeps,25020.0552
HPV-Faster 35%,9,screens,6326797.5298
HPV-Faster 35%,9,txvs,0.0
HPV-Faster 35%,9,vaccinations,13572784.2304
HPV-Faster 35%,9,yld,81078.82628659933
HPV-Faster 35%,9,yll,1034602.1312624592
HPV-Faster 70%,0,ablations,339557.892
HPV-Faster 70%,0,asr_cancer_incidence,426.1277803115898
HPV-Faster 70%,0,cancer_deaths,43585.52772908609
HPV-Faster 70%,0,cancer_incidence,370.7464116215706
HPV-Faster 70%,0,cancer_incidence_no_hiv,351.95426893234253
HPV-Faster 70%,0,cancer_incidence_with_hiv,2156.0260467529297
HPV-Faster 70%,0,cancer_treatments,44082.9544
HPV-Faster 70%,0,cancers,41676.25998058108
HPV-Faster 70%,0,cancers_no_hiv,39114.68456288299
HPV-Faster 70%,0,cancers_with_hiv,2201.1690700530967
HPV-Faster 70%,0,dalys,685566.0105114564
HPV-Faster 70%,0,excisions,0.0
HPV-Faster 70%,0,leeps,15190.7478
HPV-Faster 70%,0,screens,5952985.9908
HPV-Faster 70%,0,txvs,0.0
HPV-Faster 70%,0,vaccinations,13550444.895399999
